objectid,title,format,filename,subjectcontents,subjectbibliographic,illustrator,painter,engraver,description,image_alt_text,extent,date,publisher,streetaddress,location,latitude,longitude,identifier,platenumber,rightsstatement,Additional Notes,
item57,Book III,image/jpeg,PR35601749bF162.jpg,Angels,PR3560 1749b,Hayman,,Ravenet,,Two angels talking ,"1 print: engraving ; image 213x  170 mm., on sheet 281 x 220 mm",1749,Printed for J. and R. Tonson and S. Draper,Strand,"London, UK",51.509865, -0.118092,PR3560 1749b,F162,(CC BY-NC-SA 4.0),,
item58,Book IV,image/jpeg,PR35601749bF226.jpg,Adam; Eve; Satan; Eden,PR3560 1749b,F. Hayman,,C. Grignion,,Satan watches Adam and Eve in the garden,"1 print: engraving ; image 212x  169 mm., on sheet 281 x 220 mm",1749,Printed for J. and R. Tonson and S. Draper,Strand,"London, UK",51.509865, -0.118092,PR3560 1749b,F226,(CC BY-NC-SA 4.0),,
item59,Book V,image/jpeg,PR35601749bF310.jpg,Adam; Eve; Eden,PR3560 1749b,F. Hayman,,C. Grignion,,Adam and Eve in the garden,"1 print: engraving ; image 212x  170 mm., on sheet 281 x 220 mm",1749,Printed for J. and R. Tonson and S. Draper,Strand,"London, UK",51.509865, -0.118092,PR3560 1749b,F310,(CC BY-NC-SA 4.0),,
item60,Book VI ,image/jpeg,PR35601749bF384.jpg,God; Angels; Satan; Rebel Angels,PR3560 1749b,F. Hayman,,C. Grignion,,Christ-like figure watches angels fall from Heaven,"1 print: engraving ; image 216x  169 mm., on sheet 281 x 220 mm",1749,Printed for J. and R. Tonson and S. Draper,Strand,"London, UK",51.509865, -0.118092,PR3560 1749b,F384,(CC BY-NC-SA 4.0),,
item61,Book VII,image/jpeg,PR35601749bV2F4.jpg,Raphael; Adam; Eve; Angel; Eden,PR3560 1749b,Hayman,,Ravenet,,Angel talks to Adam and Eve,"1 print: engraving ; image 211 x 169 mm., on sheet 280 x 220 mm",1749,,,"London, UK",51.509865, -0.118092,PR3560 1749b,F4,(CC BY-NC-SA 4.0),,
item62,Book VIII,image/jpeg,PR35601749bV2F64.jpg,Raphael; Adam; Eve; Angel; Eden,PR3560 1749b,F. Hayman,,C. Grignion,,Angel talks to Adam and Eve,"1 print: engraving ; image 211 x 169 mm., on sheet 280 x 220 mm",1749,,,"London, UK",51.509865, -0.118092,PR3560 1749b,F64,(CC BY-NC-SA 4.0),,
item63,Book IX,image/jpeg,PR35601749bV2F118.jpg,Adam; Eve; Forbidden Fruit; Eden,PR3560 1749b,F. Hayman,,C. Grignion,,Eve hands Adam fruit,"1 print: engraving ; image 211 x 169 mm., on sheet 280 x 220 mm",1749,,,"London, UK",51.509865, -0.118092,PR3560 1749b,F118,(CC BY-NC-SA 4.0),,
item64,Book X,image/jpeg,PR35601749bV2F212.jpg,Adam; Eve; God; Angels; Eden; Serpent ,PR3560 1749b,F. Hayman,,C. Grignion,,Christ-like figure watches Adam and Eve,"1 print: engraving ; image 211 x 168 mm., on sheet 280 x 220 mm",1749,,,"London, UK",51.509865, -0.118092,PR3560 1749b,F212,(CC BY-NC-SA 4.0),,
item65,Book XI,image/jpeg,PR35601749bV2F302.jpg,Michael; Adam; Cain; Abel; Angel,PR3560 1749b,F. Hayman,,C. Grignion,,Angel shows Adam vision of Cain and Abel,"1 print: engraving ; image 211 x 169 mm., on sheet 280 x 220 mm",1749,,,"London, UK",51.509865, -0.118092,PR3560 1749b,F302,(CC BY-NC-SA 4.0),,
item66,Book XII,image/jpeg,PR35691749bV2F378.jpg,Michael; Adam; Eve; Angel; Eden,PR3560 1749b,Hayman,,Ravenet,,Angel escorts Adam and Eve from garden,"1 print: engraving ; image 211 x 169 mm., on sheet 280 x 220 mm",1749,,,"London, UK",51.509865, -0.118092,PR3560 1749b,F378,(CC BY-NC-SA 4.0),,
item67,Book I. L. 221,image/jpeg,PR35601796F10.jpg,Satan; Legions,PR 3560.1796,Corbould,,White,"Forthwith upright he rears from off the pool, His might stature.",Angel stands with spear and shield,"1 print: engraving ; image 160 x 104  mm., on sheet 249 x 156 mm",1795-03-01,Printed for J. Parsons,21 Pasternoster Row,"London, UK",51.51469541,-0.098312829,PR 3560.1796,F10,(CC BY-NC-SA 4.0),,
item68,Book VIII. L. 484,image/jpeg,PR35601796F19.jpg,Eve; Adam; Eden,PR 3560.1796,Corbould,,White,"on she came, Led by her heavenly Maker",Adam sees Eve enter the garden,"1 print: engraving ; image 168 x 109 mm., on sheet 249 x 156 mm",1795-04-01,Printed for J. Parsons,21 Pasternoster Row,"London, UK",51.51469541,-0.098312829,PR 3560.1796,F19,(CC BY-NC-SA 4.0),,
item69,Book IX. L. 892,image/jpeg,PR35601796F59.jpg,Eve; Adam; Eden,PR 3560.1796,Corbould,,White,"From his slack hand, the garland wreath'd for Eve, Down dropp'd, and all the faded roses shed.",Eve offers Adam fruit,"1 print: engraving ; image 169 x 112 mm., on sheet 249 x 156 mm",1795-08-01,Printed for J. Parsons,21 Pasternoster Row,"London, UK",51.51469541,-0.098312829,PR 3560.1796,F59,(CC BY-NC-SA 4.0),,
item70,Book X. L. 109,image/jpeg,PR35601796F77.jpg,Eve; Adam; God; Eden,PR 3560.1796,Corbould,,Sounders,"He came, and with him Eve more loth, tho' first To offend, discount'nanc'd both and discompos'ed",Christ-like figure sends Adam and Eve from garden,"1 print: engraving ; image 170 x 112 mm., on sheet 249 x 156 mm",1795-07-01,Printed for J. Parsons,21 Pasternoster Row,"London, UK",51.51469541,-0.098312829,PR 3560.1796,F77,(CC BY-NC-SA 4.0),,
item71,Book X. L. 449,image/jpeg,PR35601796F88.jpg,Satan; Legions,PR 3560.1796,Corbould,,White,"At least, as from a cloud his 'fulgent head And shape, star-bright appear'd",Angel talks to army,"1 print: engraving ; image 167 x 110mm., on sheet 249 x 156 mm",1795-05-01,Printed for J. Parsons,21 Pasternoster Row,"London, UK",51.51469541,-0.098312829,PR 3560.1796,F88,(CC BY-NC-SA 4.0),,
item72,Book III. L. 681,image/jpeg,PR35601796F96.jpg,Angels,PR 3560.1796,,Singleton,Sounders,So spake the false disembler unperceiv'd,Two angels talk in heaven,"1 print: engraving ; image 170 x 112  mm., on sheet 249 x 156 mm",1796-01-01,Printed for J. Parsons,21 Pasternoster Row,"London, UK",51.51469541,-0.098312829,PR 3560.1796,F96,(CC BY-NC-SA 4.0),,
item73,Book IV. L. 460,image/jpeg,PR35601796F117.jpg,Eve; Eden,PR 3560.1796,Corbould,,White,"As I bent down to look, just opposite, A Shape within the watry Gleem appeard, Bending to look on me.",Eve lays next to a pond,"1 print: engraving ; image 167 x 110  mm., on sheet 249 x 156 mm",1796-01-01,Printed for J. Parsons,21 Pasternoster Row,"London, UK",51.51469541,-0.098312829,PR 3560.1796,F117,(CC BY-NC-SA 4.0),,
item74,Book XI. L. 260,image/jpeg,PR35601796F124.jpg,Eve; Adam; Angel; Eden,PR 3560.1796,,Singleton,Sounders,"To remove thee I am come, And send thee from the Garden forth, to till The ground whence though was taken, fitter soil",Angel talks to Adam and Eve,"1 print: engraving ; image 162 x 107 mm., on sheet 249 x 156 mm",1795-11-14,Printed for J. Parsons,21 Pasternoster Row,"London, UK",51.51469541,-0.098312829,PR 3560.1796,F124,(CC BY-NC-SA 4.0),,
item75,Book V. L. 144,image/jpeg,PR35601796F144.jpg,Adam; Eve; Eden,PR 3560.1796,Corbould,,Heath,"Lowly they bow'd adoring, an began Their Orisons, each Morning duly paid In Various style",Adam and Eve in the garden,"1 print: engraving ; image 167 x 111  mm., on sheet 249 x 156 mm",1794-12-01,Printed for J. Parsons,21 Pasternoster Row,"London, UK",51.51469541,-0.098312829,PR 3560.1796,F144,(CC BY-NC-SA 4.0),,
item76,Book VI. L. 535,image/jpeg,PR35601796F191.jpg,Zophiel; Cherubim; Angels,PR 3560.1796,Corbould,,Sounders,"Zophiel, of Cherubim the swifest wing, Came, flying, and in mid-air aloud thus cried.",Angel addresses army in Heaven,"1 print: engraving ; image 164 x 110  mm., on sheet 249 x 156 mm",1795-10-01,Printed for J. Parsons,21 Pasternoster Row,"London, UK",51.51469541,-0.098312829,PR 3560.1796,F191,(CC BY-NC-SA 4.0),,
item77,Book VII. L. 50,image/jpeg,PR35601796F209.jpg,Adam; Eve; Eden; Angel; Raphael,PR 3560.1796,Corbould,,Heath,"He with this confronted Eve, The story heard attentive.",Angel talks to Adam and Eve,"1 print: engraving ; image 169 x 111 mm., on sheet 249 x 156 mm",1795-02-01,Printed for J. Parsons,21 Pasternoster Row,"London, UK",51.51469541,-0.098312829,PR 3560.1796,F209,(CC BY-NC-SA 4.0),,
item78,Book I L. 314,image/jpeg,PR35601827V1F15.jpg,Satan; Legions; Hell,ARCSPO PR 3560 1827 V.1,,,J. Martin Esq.,,Satan in Hell talking to his army,"1 print: engraving ; image 192 x 150  mm., on sheet 261 x 181 mm",1824,Septimus Prowett,23 Old Bond Street,"London, UK",51.5095811,-0.141188418,ARCSPO PR 3560 1827 V.1,F15,(CC BY-NC-SA 4.0),,
item79,Book I L. 710,image/jpeg,PR35601827V1F30.jpg,Satan; Legions; Hell,ARCSPO PR 3560 1827 V.1,,,J. Martin Esq.,,Satan in Hell,"1 print: engraving ; image 206 x 140  mm., on sheet 261 x 181 mm",1824,Septimus Prowett,23 Old Bond Street,"London, UK",51.5095811,-0.141188418,ARCSPO PR 3560 1827 V.1,F30,(CC BY-NC-SA 4.0),,
item80,Book II L. 1,image/jpeg,PR35601827V1F37.jpg,Satan; Legions; Hell,ARCSPO PR 3560 1827 V.1,,,J. Martin Esq.,,Satan on his throne,"1 print: engraving ; image 206 x 143 mm., on sheet 261 x 181 mm",1824,Septimus Prowett,23 Old Bond Street,"London, UK",51.5095811,-0.141188418,ARCSPO PR 3560 1827 V.1,F37,(CC BY-NC-SA 4.0),,
item81,Book I. L. 331,image/jpeg,PR35601832F10.jpg,Satan; Legions,PR3560 1832,Gustave Dore,,Hotelin,"They heard, and were abashed, and up they sprung.",Satan talks to fallen army,"1 print: engraving ; image 250 x 200 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F10/3,(CC BY-NC-SA 4.0),,
item82,Book I. L. 344-345,image/jpeg,PR35601832F13.jpg,Legions; Angels; Rebel Angels,PR3560 1832,Gustave Dore,,A. Gusmand,"So numberless were those bad Angels seen Hovering on wing, under the cope of Hell.",Hundreds of angels fly above Hell,"1 print: engraving ; image 250 x  199 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F13/4,(CC BY-NC-SA 4.0),,
item83,Book I. L. 757-759,image/jpeg,PR35601832F24.jpg,Angels,PR3560 1832,Gustave Dore,,S. Pannemaker,"Their summons called From ever band and squared regiment, By place or choice the worthiest.",Army of angels,"1 print: engraving ; image 248 x  200 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F24/5,(CC BY-NC-SA 4.0),,
item84,Book II. L. 1-2,image/jpeg,PR35601832F26.jpg,Satan; Legions,PR3560 1832,Gustave Dore,,Pannemaker; Doms,"High on a throne of royal state, which far Outshone the wealth of Ormus and of Ind.",Angel on throne talks to army,"1 print: engraving ; image 249 x 199  mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F26/6,(CC BY-NC-SA 4.0),,
item85,Book II. L. 628,image/jpeg,PR35601832F45.jpg,Gorgons; Hydras; Chimeras; Monsters; Angels,PR3560 1832,Gustave Dore,,Pannemaker; Doms,"Gorgons, and Hydras, and Chimeras dire",Angels look down at sea of monsters,"1 print: engraving ; image 250 x 199  mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F45/7,(CC BY-NC-SA 4.0),,
item86,Book II. L. 648-649,image/jpeg,PR35601832F46.jpg,Satan; Sin; Hell; Death,PR3560 1832,Gustave Dore,,Pannemaker; Doms,Before the gates there sat On either side a formidable shape.,Satan stands in front of Death and Sin personified in front of the Hell's gate,"1 print: engraving ; image 250 x 203 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F46/8,(CC BY-NC-SA 4.0),,
item87,Book II. L. 949-950,image/jpeg,PR35601832F56.jpg,Satan,PR3560 1832,Gustave Dore,,A. Gusmand,"With head, hands, wings, or feet, pursues his way, And swims, or sings, or wades, or creeps, or flies",Satan clings to rock,"1 print: engraving ; image 247 x 201 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F56/9,(CC BY-NC-SA 4.0),,
item88,Book III. L. 347-349,image/jpeg,PR35601832F71.jpg,Jesus; Cross; God; Heaven; Angels,PR3560 1832,Gustave Dore,,Pannemaker; Doms,"Heaven rung With jubilee, and loud hosannas filled The eternal regions",Christ-like figure watches angels,"1 print: engraving ; image 248 x 200  mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F71/10,(CC BY-NC-SA 4.0),,
item89,Book III. L. 473-474,image/jpeg,PR35601832F74.jpg,Satan; Legions,PR3560 1832,Gustave Dore,,Hotelin,"And many more too lond, Embryos, and idiots, eremites, and friars.",Angels at war,"1 print: engraving ; image  249 x203 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F74/11,(CC BY-NC-SA 4.0),,
item90,Book III. L. 739-741,image/jpeg,PR35601832F82.jpg,Satan; Earth,PR3560 1832,Gustave Dore,,P. Jonnard,"Towards the coast of Earth beneath, Down from the ecliptic, sped with hoped success, Throws his steep flight in many an aëry wheel.",Satan flying down to earth,"1 print: engraving ; image  249 x200mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F82/12,(CC BY-NC-SA 4.0),,
item91,Book IV. L. 73-74,image/jpeg,PR35601832F85.jpg,Satan,PR3560 1832,Gustave Dore,,Pannemaker; Doms,"Me miserable! which way shall I fly Infinite wrath, and infinite despair?",Satan clinging to a rock,"1 print: engraving ; image  248 x 199 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F85/13,(CC BY-NC-SA 4.0),,
item92,Book IV. L. 172-173,image/jpeg,PR35601832F88.jpg,Satan; Eden,PR3560 1832,Gustave Dore,,Cosson Smeeton,"Now to the ascent of the steep savage hill Satan had journeyed on, pensive and slow",Satan standing on a cliff over the garden,"1 print: engraving ; image  248 x 200mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F88/14,(CC BY-NC-SA 4.0),,
item93,Book IV. L. 247,image/jpeg,PR35601832F90.jpg,Satan; Eden,PR3560 1832,Gustave Dore,,C. Laplante,A happy rural seat of various view,Satan in the garden,"1 print: engraving ; image 248 x 201 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F90/15,(CC BY-NC-SA 4.0),,
item94,Book IV. L. 335-336,image/jpeg,PR35601832F93.jpg,Adam; Eden; Eve,PR3560 1832,Gustave Dore,,Gauchard,"The savoury pulp they chew, and in the rind, Still as they thirsted, scoop the brimming stream",Adam and Eve in the garden,"1 print: engraving ; image 248 x 201 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F93/16,(CC BY-NC-SA 4.0),,
item95,Book IV. L. 589-590,image/jpeg,PR35601832F100.jpg,Uriel; Angels,PR3560 1832,Gustave Dore,,Pannemaker; Doms,So promised he; and Uriel to his charge Returned. ,Five angels talking,"1 print: engraving ; image 249 x 200 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F100/17,(CC BY-NC-SA 4.0),,
item96,Book IV. L. 798-799,image/jpeg,PR35601832F106.jpg,Angels,PR3560 1832,Gustave Dore,,Jonnard,These to the bower direct In search of whom they sought.,Two angels flying together,"1 print: engraving ; image 248 x 201 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F106/18,(CC BY-NC-SA 4.0),,
item97,Book IV. L. 1014-1015,image/jpeg,PR35601832F115.jpg,Satan; Angels,PR3560 1832,Gustave Dore,,J. Gauchard,"Nor more; but fled Murmuring, and with him fled the shades of night.",Satan walking away from other angels,"1 print: engraving ; image 248 x 200 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F115/19,(CC BY-NC-SA 4.0),,
item98,Book V. L. 12-13,image/jpeg,PR35601832F116.jpg,Adam; Eve; Eden,PR3560 1832,Gustave Dore,,Pannemaker,"Leaning, half raised, with looks of cordial love, Hung over her enamoured",Adam and Eve in the garden,"1 print: engraving ; image 248 x 198 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F116/20,(CC BY-NC-SA 4.0),,
item99,Book V. L. 309-310,image/jpeg,PR35601832F124.jpg,Adam; Eve; Eden; Angel,PR3560 1832,Gustave Dore,,Pannemaker; Doms,"Eastward among those trees, what glorious shape Comes this way moving?",Adam and Eve in the garden,"1 print: engraving ; image 248 x 200 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F124/21,(CC BY-NC-SA 4.0),,
item100,Book V. L. 468-470,image/jpeg,PR35601832F131.jpg,Adam; Eve; Angel; Raphael; Eden,PR3560 1832,Gustave Dore,,,"To whom the wingèd Hierarch replied: O Adam, one Almighty is, from whom All things proceed. ",Angel talks to Adam and Eve,"1 print: engraving ; image 247 x 200 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F131/22,(CC BY-NC-SA 4.0),,
item101,Book V. L. 188,image/jpeg,PR35601832F148.jpg,Satan; Angels,PR3560 1832,Gustave Dore,,J. Huyot,This greeting on they impious crest receive.,Angels with swords ,"1 print: engraving ; image 248 x 199 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F148/23,(CC BY-NC-SA 4.0),,
item102,Book VI. L. 207-209,image/jpeg,PR35601832F150.jpg,War; Angels,PR3560 1832,Gustave Dore,,A. D[ebarle],"Now storming fury rose, And clamour, such as heard in heaven till now Was never.",Many angels fighting,"1 print: engraving ; image 246 x 199 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F150/24,(CC BY-NC-SA 4.0),,
item103,Book VI. L. 327-328,image/jpeg,PR35601832F153.jpg,Satan,PR3560 1832,Gustave Dore,,Piaud,"Then Satan first knew pain, And writhed him to and fro.",Satan lays on the ground,"1 print: engraving ; image 244 x 200 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F153/25,(CC BY-NC-SA 4.0),,
item104,Book VI. L. 406,image/jpeg,PR35601832F154.jpg,Satan,PR3560 1832,Gustave Dore,,Ad Ligny,Now Night her course began,Satan lays on rocks,"1 print: engraving ; image 245 x 198 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F154/26,(CC BY-NC-SA 4.0),,
item105,Book VI. L. 410-412,image/jpeg,PR35601832F156.jpg,Michael; Angels,PR3560 1832,Gustave Dore,,A. Gusmand,"On the foughten field Michael and his angels, prevalent Encamping, placed in guard their watched round.",Many angels camped on rocks,"1 print: engraving ; image 245 x 197 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F156/27,(CC BY-NC-SA 4.0),,
item106,Book VI. L. 871,image/jpeg,PR35601832F169.jpg,Rebel Angels; Angels;,PR3560 1832,Gustave Dore,,A. Gusmand,Nine days they fell.,Hundred of angels fighting,"1 print: engraving ; image 244 x 198 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F169/28,(CC BY-NC-SA 4.0),,
item107,Book VI. L. 874-875,image/jpeg,PR35601832F170.jpg,Hell; Rebel Angels; Satan; Legions,PR3560 1832,Gustave Dore,,Hotelin,"Hell at last, Yawning, received them whole. ",Satan and his army falling,"1 print: engraving ; image 250 x 198 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F170/29,(CC BY-NC-SA 4.0),,
item108,Book VI. L. 874-875,image/jpeg,PR35601832F180.jpg,Flood,PR3560 1832,Gustave Dore,,C. Laplante,"Wave rolling after wave, where way they found; If steep, with torrent rapture.",Waterfall on a mountain,"1 print: engraving ; image 245 x 200 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F180/30,(CC BY-NC-SA 4.0),,
item109,Book VII. L. 387-389,image/jpeg,PR35601832F183.jpg,Reptile; Monster; Fowl; Earth; Waters,PR3560 1832,Gustave Dore,,Cosson Smeeton,"And God said: Let the waters generate Reptile with spawn abundant, living soul; And let fowl fly above the earth.","Sea filled with monstors, birds in the sky, and animals on land.","1 print: engraving ; image 248 x 198 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F183/31,(CC BY-NC-SA 4.0),,
item110,Book VII. L. 417-418,image/jpeg,PR35601832F186.jpg,Waters; Fowl; Animals,PR3560 1832,Gustave Dore,,Ad Ligny,"Meanwhile the tepid caves, and fens, and shores, Their brood as numerous hatch.","Numerous birds fill the air, land, and waters","1 print: engraving ; image 249 x 198  mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F186/32,(CC BY-NC-SA 4.0),,
item111,Book VII. L. 581-582.,image/jpeg,PR35601832F189.jpg,Eden; Earth; Animals,PR3560 1832,Gustave Dore,,Piaud,And now on earth the seventh Evening arose in Eden.,Animals lay in garden of Eden,"1 print: engraving ; image 245 x 200 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F189/33,(CC BY-NC-SA 4.0),,
item112,Book VIII. L.  652-653,image/jpeg,PR35601832F210.jpg,Angel; Adam; Eve; Eden,PR3560 1832,Gustave Dore,,Pannemaker,"So they parted: the Angel up to heaven From the thick shade, and Adam to his bower.",Adam and Eve in garden,"1 print: engraving ; image 245 x 199 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F210/35,(CC BY-NC-SA 4.0),,
item113,Book IX. L. 74-75,image/jpeg,PR35601832F212.jpg,Satan,PR3560 1832,Gustave Dore,,Jonnard,"In with the river sunk, and with it rose, Satan.",Satan stands on cliff above river,"1 print: engraving ; image 248 x 200mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F212/36,(CC BY-NC-SA 4.0),,
item114,Book IX. L. 99-100,image/jpeg,PR35601832F214.jpg,Satan; Adam; Eve; Eden,PR3560 1832,Gustave Dore,,E. Goebel,"O Earth, how like to Heaven, if not preferred More justly.",Satan watching Adam and Eve in the garden,"1 print: engraving ; image 245 x 199 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F214/37,(CC BY-NC-SA 4.0),,
item115,Book IX. L. 182-183,image/jpeg,PR35601832F216.jpg,Satan; Serpent,PR3560 1832,Gustave Dore,,J. Gauchard,"Him, fast sleeping, soon he found In labyrinth of many a round, self-rolled.",Satan watching a snake sleeping,"1 print: engraving ; image 249 x 200 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F216/38,(CC BY-NC-SA 4.0),,
item116,Book IX. L. 434-435,image/jpeg,PR35601832F225.jpg,Serpent; Adam; Eve; Eden,PR3560 1832,Gustave Dore,,L. Dumont,"Nearer he drew, and many a walk traversed Of stateliest covert, cedar, pine, or palm. ","Satan, as a snake, watches Adam and Eve","1 print: engraving ; image 245 x 197 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F225/39,(CC BY-NC-SA 4.0),,
item117,Book IX. L. 784-785,image/jpeg,PR35601832F234.jpg,Serpent; Adam; Eve; Eden,PR3560 1832,Gustave Dore,,J. Huyot,Back to the thicket slunk The guilty serpent.,Satan leaves Eve with fruit,"1 print: engraving ; image 247 x 198 mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F234/40,(CC BY-NC-SA 4.0),,
item118,Book IX. L. 1121-1123,image/jpeg,PR35601832F244.jpg,Adam; Eve; Eden,PR3560 1832,Gustave Dore,,A. Gusmand,"Nor only tears Rained at their eyes, but high winds worse within Began to rise",Adam and Eve in the garden,"1 print: engraving ; image 250 x 200mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F244/41,(CC BY-NC-SA 4.0),,
item119,Book X. L. 99-101,image/jpeg,PR35601832F251.jpg,Adam; Eve; Eden,PR3560 1832,Gustave Dore,,Jonnard,"The heard, And from his prescense hid themselves among The thickest trees.",Adam and Eve in the garden,"1 print: engraving ; image 248 x 197mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F251/42,(CC BY-NC-SA 4.0),,
item120,Book X. L. 439-441,image/jpeg,PR35601832F260.jpg,Angels,PR3560 1832,Gustave Dore,,Hotelin,"And now expecting Each hour their great adventurer, from the search Of foreign worlds.",Army of angels,"1 print: engraving ; image 246 x 199mm., on sheet 321 x 255 mm",1866,"Printed by Cassell and company, limited",La Bell Sauvage,"London, E.C., UK",51.5141588,-0.102509707,PR3560 1832,F260/43,(CC BY-NC-SA 4.0),,
